"ID","MAIN_ENGINE_MANUFACTURER","NUMBER_OF_PROPELLORS","MAIN_ENGINE_CAPACITY","TYPE_OF_FUEL","BOW_THRUSTER","STERN_THRUSTER","SHIP_CATEGORY"
17246,"",,23479,"HFO","","","TANKER"
17247,"",,23479,"HFO","","","TANKER"
17248,"",,23479,"HFO","","","TANKER"
17249,"",,2200,"HFO","","","GEN CARGO"
17250,"",,1299,"HFO","220 KW","","GEN CARGO"
17252,"",,3000,"HFO","","","TUG"
17253,"",,4500,"HFO","400 PK","","TANKER"
17255,"",,1134,"HFO","400 PK","","GEN CARGO"
17256,"",,1260,"HFO","254 KW","","GEN CARGO"
17257,"",,4657,"HFO","590KW","590KW","OFFSHORE"
17258,"",,4657,"HFO","588 KW","588 PK","OFFSHORE"
17259,"",,9000,"HFO","","","PASSENGER"
17260,"",,6929,"HFO","590 KW","","GEN CARGO"
17261,"",,16439,"HFO","","","BULK"
17262,"",,9372,"HFO","","","COMBI"
17263,"",,9372,"HFO","","","COMBI"
17264,"",,2200,"HFO","257 KW","","GEN CARGO"
17266,"",,39749,"HFO","3X1500KW","1500 KW","PASSENGER"
17267,"",,3449,"HFO","284 KW","","TANKER"
17268,"",,8826,"HFO","","","BULK"
17269,"",,8826,"HFO","","","BULK"
17270,"",,17653,"HFO","","","TANKER"
17271,"",,12944,"HFO","","","BULK"
17272,"",,7414,"HFO","","","BULK"
17273,"",,7414,"HFO","","","BULK"
17965,"",,16358,"HFO","1500KW","","GEN CARGO"
17966,"",,7510,"","","","BULK"
17967,"",,7510,"HFO","","","BULK"
17969,"",,9999,"HFO","600KW","","GEN CARGO"
17970,"",,4750,"HFO","500 KW","","GEN CARGO"
17971,"",,28729,"HFO","","","TANKER"
17972,"",,2700,"HFO","467 KW","","GEN CARGO"
17973,"",,2700,"HFO","JA","","GEN CARGO"
17975,"",,1940,"HFO","JA","","GEN CARGO"
17976,"",,1000,"HFO","130 KW","","GEN CARGO"
17977,"",,2649,"HFO","JA","","DREDGING"
17978,"",,2650,"HFO","428 KW","","DREDGING"
17979,"",,12901,"HFO","","","TANKER"
17981,"",,1940,"HFO","135 KW","","GEN CARGO"
17982,"",,10800,"HFO","","","BULK"
17983,"",,10800,"HFO","","","BULK"
17984,"",,10800,"HFO","","","BULK"
17985,"",,5119,"HFO","","","GEN CARGO"
17986,"",,7149,"HFO","","","BULK"
17987,"",,7153,"HFO","","","BULK"
17988,"",,1649,"HFO","132 KW","","GEN CARGO"
17989,"",,3690,"","290 KW","","GEN CARGO"
17990,"",,2294,"HFO","500 KW","","GEN CARGO"
17991,"",,3824,"HFO","380 KW","","GEN CARGO"
17992,"",,3354,"HFO","524 KW","","TANKER"
17993,"",,21840,"HFO","","","TANKER"
17996,"",,5296,"HFO","","","BULK"
17997,"",,5296,"HFO","","","BULK"
17998,"",,5969,"HFO","","","BULK"
17999,"",,5641,"HFO","","","BULK"
18000,"",,2189,"HFO","400 KW","","TANKER"
18001,"",,1089,"HFO","233 KW","","GEN CARGO"
18002,"",,7070,"HFO","800 KW","","TANKER"
18003,"",,11100,"HFO","","","BULK"
18004,"",,12355,"HFO","800 KW","","GEN CARGO"
18005,"",,3883,"HFO","400 PK","","TANKER"
18006,"",,3354,"HFO","","","TANKER"
18008,"",,,"","","","TUG"
18701,"",,1469,"HFO","185 KW","","GEN CARGO"
18702,"",,1470,"HFO","185 KW","","GEN CARGO"
18704,"",,1125,"HFO","250 KW","","GEN CARGO"
18705,"",,47929,"HFO","2X1200PK","","NAVY"
18706,"",,32819,"HFO","","","GEN CARGO"
18707,"",,7465,"HFO","","","TANKER"
18708,"",,7465,"HFO","","","TANKER"
18710,"",,14049,"HFO","","","COMBI"
18711,"",,47075,"HFO","1200 PK","1200 PK","GEN CARGO"
